City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,trenton,40.217,-74.7429,288.82,53,0,2.57,US,1682295125
83,palangkaraya,-2.2,113.8333,299.51,85,35,0.96,ID,1682295127
84,thurso,58.5927,-3.5259,277.29,70,100,10.3,GB,1682295127
85,afaahiti,-17.75,-149.2833,301.08,87,99,5.1,PF,1682294980
86,alta,69.9689,23.2717,269.92,68,0,1.54,NO,1682295128
87,maya,11.2743,124.0579,301.22,76,68,4.38,PH,1682295128
88,oranjemund,-28.55,16.4333,289.9,63,100,2.44,NA,1682295128
89,koulikoro,14.0,-7.75,301.88,17,0,3.66,ML,1682295128
90,barentu,15.1139,37.5928,300.47,24,69,2.4,ER,1682295128
91,vilyuchinsk,52.9306,158.4028,278.3,76,99,7.69,RU,1682294970
92,mayqayyng,51.4625,75.7986,280.73,63,22,9.35,KZ,1682295129
93,capayan,-28.761,-66.0502,288.59,91,100,2.46,AR,1682295130
94,sorong,-0.8833,131.25,301.02,78,62,1.31,ID,1682295130
95,petropavlovsk-kamchatsky,53.0452,158.6483,277.48,45,75,5.0,RU,1682295130
96,uturoa,-16.7333,-151.4333,300.99,78,96,4.96,PF,1682295130
97,port saint john's,-31.6229,29.5448,291.06,73,87,1.86,ZA,1682295130
98,vadso,70.0744,29.7487,268.64,80,33,7.2,NO,1682295131
99,fiambala,-27.6871,-67.6149,285.98,80,81,5.82,AR,1682295131
100,holualoa,19.6228,-155.9522,299.06,80,40,5.66,US,1682295131
101,ilulissat,69.2167,-51.1,273.16,100,100,1.54,GL,1682295131
102,kapuskasing,49.4169,-82.4331,273.2,86,75,2.57,CA,1682295131
103,ilomantsi,62.6716,30.9328,276.31,99,100,2.03,FI,1682295132
104,praia da vitoria,38.7333,-27.0667,290.04,95,98,8.03,PT,1682295132
105,alofi,-19.0595,-169.9187,298.96,64,8,5.53,NU,1682295044
106,dieppe,49.75,1.1667,281.59,89,47,0.45,FR,1682295132
107,atafu village,-8.5421,-172.5159,301.9,73,33,1.91,TK,1682295132
108,labrador city,52.9463,-66.9114,274.66,94,100,1.96,CA,1682295133
109,cole harbour,44.6724,-63.4751,278.24,88,76,1.79,CA,1682295133
110,urangan,-25.3,152.9,298.82,61,27,11.11,AU,1682295133
111,kibre mengist,5.8833,38.9833,287.83,96,100,1.02,ET,1682295134
112,longyearbyen,78.2186,15.6401,263.06,73,0,2.57,SJ,1682295134
113,xilin hot,43.9667,116.0333,280.95,38,57,4.52,CN,1682295135
114,ilhabela,-23.7781,-45.3581,292.59,95,17,2.65,BR,1682295135
115,alo,7.4178,6.7371,299.33,85,100,1.47,NG,1682295135
116,crane,31.3974,-102.3501,282.21,74,100,6.14,US,1682295136
117,edd,13.9297,41.6925,304.88,52,5,7.02,ER,1682295136
118,tvoroyri,61.5556,-6.8111,276.73,63,100,11.01,FO,1682295136
119,ancud,-41.8697,-73.8203,281.78,87,72,1.55,CL,1682295136
120,tabas,33.5959,56.9244,296.34,34,61,1.36,IR,1682295137
121,wladyslawowo,54.7909,18.4009,286.23,96,97,1.82,PL,1682295138
